Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-CT_2015-11-19-0401	ParlaMint-ES-CT_2015-11-19-0401.1.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2015-11-19 0401.ana	2015-11-19	Unicameralisme	XI Legislatura	-	4	1	-	Referència	Català	Presidència	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Partit arreplegador	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
ParlaMint-ES-CT_2015-11-19-0401	ParlaMint-ES-CT_2015-11-19-0401.2.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2015-11-19 0401.ana	2015-11-19	Unicameralisme	XI Legislatura	-	4	1	-	Referència	Català	Diputat/da	MP	notMinister	GP-JxSi	Grup Parlamentari de Junts pel Sí	-	Partit arreplegador	CorominasLluís	Corominas i Diaz, Lluís	M	1963	
ParlaMint-ES-CT_2015-11-19-0401	ParlaMint-ES-CT_2015-11-19-0401.3.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2015-11-19 0401.ana	2015-11-19	Unicameralisme	XI Legislatura	-	4	1	-	Referència	Català	Diputat/da	MP	notMinister	GP-JxSi	Grup Parlamentari de Junts pel Sí	-	Partit arreplegador	GordòGermà	Gordò i Aubarell, Germà	M	1963	
ParlaMint-ES-CT_2015-11-19-0401	ParlaMint-ES-CT_2015-11-19-0401.4.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2015-11-19 0401.ana	2015-11-19	Unicameralisme	XI Legislatura	-	4	1	-	Referència	Català	Presidència	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Partit arreplegador	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
ParlaMint-ES-CT_2015-11-19-0401	ParlaMint-ES-CT_2015-11-19-0401.5.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2015-11-19 0401.ana	2015-11-19	Unicameralisme	XI Legislatura	-	4	1	-	Referència	Espanyol	Diputat/da	MP	notMinister	GP-Cs	Grup Parlamentari de Ciutadans	Opposition	Centredreta	CarrizosaCarlos	Carrizosa Torres, Carlos	M	1964	
ParlaMint-ES-CT_2015-11-19-0401	ParlaMint-ES-CT_2015-11-19-0401.6.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2015-11-19 0401.ana	2015-11-19	Unicameralisme	XI Legislatura	-	4	1	-	Referència	Català	Presidència	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Partit arreplegador	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
ParlaMint-ES-CT_2015-11-19-0401	ParlaMint-ES-CT_2015-11-19-0401.7.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2015-11-19 0401.ana	2015-11-19	Unicameralisme	XI Legislatura	-	4	1	-	Referència	Català	Diputat/da	MP	notMinister	GP-PSC	Grup Parlamentari Socialista	Opposition	Centreesquerra	IbarraRosa	Ibarra Ollé, Rosa M.	F	1969	
ParlaMint-ES-CT_2015-11-19-0401	ParlaMint-ES-CT_2015-11-19-0401.8.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2015-11-19 0401.ana	2015-11-19	Unicameralisme	XI Legislatura	-	4	1	-	Referència	Català	Presidència	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Partit arreplegador	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
ParlaMint-ES-CT_2015-11-19-0401	ParlaMint-ES-CT_2015-11-19-0401.9.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2015-11-19 0401.ana	2015-11-19	Unicameralisme	XI Legislatura	-	4	1	-	Referència	Català	Diputat/da	MP	notMinister	GP-CSP	Grup Parlamentari Catalunya sí que es Pot	Opposition	Esquerra	RibasMarta	Ribas Frías, Marta	F	1975	
ParlaMint-ES-CT_2015-11-19-0401	ParlaMint-ES-CT_2015-11-19-0401.10.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2015-11-19 0401.ana	2015-11-19	Unicameralisme	XI Legislatura	-	4	1	-	Referència	Català	Presidència	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Partit arreplegador	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
ParlaMint-ES-CT_2015-11-19-0401	ParlaMint-ES-CT_2015-11-19-0401.11.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2015-11-19 0401.ana	2015-11-19	Unicameralisme	XI Legislatura	-	4	1	-	Referència	Multilingual	Diputat/da	MP	notMinister	GP-Cs	Grup Parlamentari de Ciutadans	Opposition	Centredreta	GarcíaEsperanza	García González, Esperanza	F	1975	
ParlaMint-ES-CT_2015-11-19-0401	ParlaMint-ES-CT_2015-11-19-0401.12.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2015-11-19 0401.ana	2015-11-19	Unicameralisme	XI Legislatura	-	4	1	-	Referència	Espanyol	Presidència	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Partit arreplegador	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
ParlaMint-ES-CT_2015-11-19-0401	ParlaMint-ES-CT_2015-11-19-0401.13.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2015-11-19 0401.ana	2015-11-19	Unicameralisme	XI Legislatura	-	4	1	-	Referència	Català	Diputat/da	MP	notMinister	GP-CUP	Grup Parlamentari de la Candidatura d'Unitat Popular - Crida Constituent	Opposition	Entre esquerra i extrema esquerra	SalellasBenet	Salellas i Vilar, Benet	F	1977	
ParlaMint-ES-CT_2015-11-19-0401	ParlaMint-ES-CT_2015-11-19-0401.14.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2015-11-19 0401.ana	2015-11-19	Unicameralisme	XI Legislatura	-	4	1	-	Referència	Català	Presidència	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Partit arreplegador	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
ParlaMint-ES-CT_2015-11-19-0401	ParlaMint-ES-CT_2015-11-19-0401.15.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2015-11-19 0401.ana	2015-11-19	Unicameralisme	XI Legislatura	-	4	1	-	Referència	Català	Diputat/da	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Partit arreplegador	CaulaAnna	Caula i Paretas, Anna	F	1971	
ParlaMint-ES-CT_2015-11-19-0401	ParlaMint-ES-CT_2015-11-19-0401.16.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2015-11-19 0401.ana	2015-11-19	Unicameralisme	XI Legislatura	-	4	1	-	Referència	Català	Presidència	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Partit arreplegador	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
ParlaMint-ES-CT_2015-11-19-0401	ParlaMint-ES-CT_2015-11-19-0401.17.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2015-11-19 0401.ana	2015-11-19	Unicameralisme	XI Legislatura	-	4	1	-	Referència	Català	Diputat/da	MP	notMinister	GP-Cs	Grup Parlamentari de Ciutadans	Opposition	Centredreta	Espejo-Saavedra	Espejo-Saavedra Conesa, José María	M	1976	
ParlaMint-ES-CT_2015-11-19-0401	ParlaMint-ES-CT_2015-11-19-0401.18.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2015-11-19 0401.ana	2015-11-19	Unicameralisme	XI Legislatura	-	4	1	-	Referència	Català	Presidència	MP	notMinister	GP-JxSi;GP-REP	Grup Parlamentari de Junts pel Sí;Grup Parlamentari Republicà	-	Partit arreplegador	ForcadellCarme	Forcadell i Lluís, Carme	F	1955	
